Date,Coal Australia Index,Shrimp Index,Wheat Index,Natural gas EU price,Natural Gas US price,Natural Gas US Index,Beef price,Beef Index,Coal Australia price,Natural gas EU index,Shrimp price,Wheat price
1990M1,54.22234665,54.98576419,117.2607858,1.729999966,,,126.3099976,70.87774473,38,39.73966231,4.693143676,167.9185791
1990M2,54.22234665,58.77786866,112.3856036,1.729999966,,,111.4599915,62.54479435,38,39.73966231,5.016807289,160.9372711
1990M3,54.22234665,60.04189775,109.3065457,1.729999966,,,112.6700134,63.22378754,38,39.73966231,5.124694671,156.5280304
1990M4,54.22234665,61.93799871,111.3592545,2.109999763,,,112.1299973,62.92076221,38,48.46860098,5.286530637,159.4675293
1990M5,57.7896063,63.2020278,104.1747789,2.109999763,,,112.4899902,63.12276911,40.5,48.46860098,5.394418019,149.1792908
1990M6,57.7896063,64.46605689,94.68102056,2.109999763,,,113.5799866,63.73441097,40.5,48.46860098,5.5023054,135.584137
1990M7,57.7896063,55.61778447,87.23996568,1.919999864,,,116.0700073,65.13166423,40.5,44.10413165,4.747087857,124.9284744
1990M8,57.7896063,56.88182502,81.59501905,1.919999864,,,120.390007,67.55579408,40.5,44.10413165,4.854976217,116.8448563
1990M9,57.7896063,60.67396963,79.7989108,1.919999864,,,122.3299866,68.64439655,40.5,44.10413165,5.178643256,114.2728119
1990M10,57.7896063,66.36215786,80.05549541,2.379999797,,,117.2600098,65.79942364,40.5,54.67074571,5.664141367,114.6402435
1990M11,57.7896063,66.36215786,78.77256171,2.379999797,,,114.9500122,64.50318882,40.5,54.67074571,5.664141367,112.8030701
1990M12,57.7896063,66.36215786,79.02914099,2.379999797,,,115.5599976,64.84547673,40.5,54.67074571,5.664141367,113.1704941
1991M1,57.7896063,70.15424513,77.74620729,2.959999932,1.43,56.02121198,117.6200027,66.00143053,40.5,67.99387287,5.987803511,111.3333206
1991M2,57.7896063,73.94638973,79.54232087,2.959999932,1.41375,55.3846073,123.9599915,69.55905946,40.5,67.99387287,6.31147055,113.9053726
1991M3,56.36270244,75.84243336,83.39114327,2.959999932,1.356,53.1222122,117.5599976,65.96775915,39.5,67.99387287,6.473301623,119.4169235
1991M4,56.36270244,75.84243336,84.41749236,3.410000271,1.3625,53.37685408,118.4400024,66.46156615,39.5,78.33078724,6.473301623,120.8866653
1991M5,56.36270244,72.68230331,85.22061924,3.410000271,1.336,52.33869875,119.1119995,66.8386514,39.5,78.33078724,6.203578275,122.0367508
1991M6,56.36270244,65.09807144,83.90431782,3.410000271,1.251166667,49.01529585,122.640007,68.8183618,39.5,78.33078724,5.556249091,120.1517944
1991M7,56.36270244,54.35374391,82.54803694,3.120000203,1.1485,44.99326011,121.8700027,68.38628067,39.5,71.66922366,4.639199496,118.2095871
1991M8,56.36270244,56.88182502,87.51815433,3.120000203,1.3028,51.03806641,119.8099976,67.23032687,39.5,71.66922366,4.854976217,125.3268433
1991M9,56.36270244,58.14585411,94.53349506,3.120000203,1.473125,57.71066287,124.5,69.86208051,39.5,71.66922366,4.962863599,135.372879
1991M10,56.36270244,58.14585411,102.574162,2.540000068,1.682,65.89348151,123.3999863,69.24481747,39.5,58.3460965,4.962863599,146.8871918
1991M11,56.36270244,56.88182502,104.4242457,2.540000068,1.8052,70.71992439,122.8333435,68.92685087,39.5,58.3460965,4.854976217,149.5365295
1991M12,56.36270244,62.57001326,112.3153519,2.540000068,1.848,72.39664318,118.2666626,66.36429802,39.5,58.3460965,5.340474328,160.8366699
1992M1,56.36270244,58.14585411,118.6826993,2.379999797,1.4405,56.43255655,116.6388931,65.4508895,39.5,54.67074571,4.962863599,169.9547729
1992M2,56.36270244,58.77786866,123.6937178,2.379999797,1.18,46.2272938,114.4852905,64.24241433,39.5,54.67074571,5.016807289,177.1306
1992M3,56.36270244,58.77786866,118.2608904,2.379999797,1.26,49.36134762,111.1125183,62.34981285,39.5,54.67074571,5.016807289,169.3507385
1992M4,56.36270244,60.04189775,111.6830434,2.339999729,1.3905,54.47377291,108.171051,60.69923434,39.5,53.75190801,5.124694671,159.9311981
1992M5,56.36270244,61.93799871,104.5308007,2.339999729,1.5533,60.85157243,107.7638931,60.47076127,39.5,53.75190801,5.286530637,149.6891174
1992M6,56.36270244,62.57001326,103.8161465,2.339999729,1.5915,62.34808313,105.8999863,59.42484632,39.5,53.75190801,5.340474328,148.6657257
1992M7,56.36270244,65.73008598,95.19420043,2.390000237,1.6832,65.94049232,106.4305725,59.72258012,39.5,54.90046487,5.610192782,136.3190155
1992M8,56.36270244,72.05028876,89.5025294,2.390000237,1.914,74.98223758,110.921051,62.24237267,39.5,54.90046487,6.149634584,128.1684875
1992M9,56.36270244,72.05028876,96.88188356,2.390000237,2.088,81.79880463,110.6923218,62.11402326,39.5,54.90046487,6.149634584,138.7357941
1992M10,53.15216875,72.05028876,98.17062451,2.35000017,2.4164,94.66409555,113.3863525,63.62575494,37.25,53.98162717,6.149634584,140.5812836
1992M11,49.94163507,63.2020278,103.0539048,2.35000017,2.278,89.24218245,115.2368469,64.66414359,35,53.98162717,5.394418019,147.5741882
1992M12,49.94163507,64.46605689,103.2309035,2.35000017,2.21275,86.6859698,115.2874985,64.69256627,35,53.98162717,5.5023054,147.827652
1993M1,49.94163507,74.57840428,108.6939393,2.699999915,1.9464,76.25152937,106.8026428,59.93136411,35,62.02143756,6.365414241,155.6507721
1993M2,44.23401963,75.21041882,103.96884,2.699999915,1.7355,67.98938,108.3235321,60.78479776,31,62.02143756,6.419357932,148.8843842
1993M3,44.23401963,76.47444791,103.2811868,2.699999915,2.168,84.93285845,114.5909119,64.30168282,31,62.02143756,6.527245313,147.8996582
1993M4,44.23401963,76.47444791,99.15603514,2.609999975,2.3321,91.36158634,117.5749969,65.97617593,31,59.95405761,6.527245313,141.9924011
1993M5,44.23401963,76.47444791,95.37701696,2.599999958,2.135,83.64006125,121.3947372,68.11958961,31,59.72434818,6.527245313,136.5808105
1993M6,44.23401963,76.47444791,85.06771271,2.599999958,1.974,77.33277794,124.4875031,69.85506796,31,59.72434818,6.527245313,121.8177872
1993M7,44.23401963,73.52502759,89.05135392,2.550000085,2.0536,80.45116149,127.9404831,71.79267735,31,58.57580593,6.275506458,127.5223999
1993M8,44.23401963,71.76939978,90.63975969,2.550000085,2.32075,90.91694246,127.1666565,71.35845136,31,58.57580593,6.125660154,129.7970123
1993M9,44.23401963,67.62618695,91.68535263,2.550000085,2.25175,88.21382104,124.0119019,69.58818853,31,58.57580593,5.772028748,131.2943115
1993M10,44.23401963,68.25820149,94.94081247,2.540000068,2.0368,79.79301019,121.0625,67.9331576,31,58.3460965,5.825972439,135.9561615
1993M11,44.23401963,68.25820149,102.3048973,2.540000068,2.2995,90.08445941,119.8421021,67.24834202,31,58.3460965,5.825972439,146.5016022
1993M12,44.23401963,68.89021604,110.7851358,2.540000068,2.1176,82.95840454,111.6607132,62.65742759,31,58.3460965,5.87991613,158.6453857
1994M1,44.23401963,68.89021604,106.9880885,2.219999949,2.384,93.39480375,109.8421021,61.63692994,31,50.99540465,5.87991613,153.2079773
1994M2,44.23401963,68.89021604,102.67914,2.219999949,2.739,107.3021676,113.1111069,63.47130325,31,50.99540465,5.87991613,147.0375214
1994M3,42.09366385,77.10646245,98.49359293,2.219999949,2.1275,83.3462437,122.03125,68.47676315,29.5,50.99540465,6.581189004,141.0437775
1994M4,42.09366385,78.05451294,98.08080924,2.239999983,2.0405,79.93796018,119.1907883,66.88286302,29.5,51.4548235,6.662106987,140.4526672
1994M5,44.80478118,79.26585026,97.8676032,2.239999983,1.934,75.76575103,108.4444427,60.8526457,31.4,51.4548235,6.765497022,140.1473541
